InstanceID,ClassID,PanopticID,MeshID,InfraredID,R,G,B,Name,RIOGlobalID,Size
1,2,0,0,0,174,199,232,floor_0,188,M
2,5,1,0,0,31,119,180,armchair_0,4,M
3,1,0,0,0,255,187,120,wall_0,503,M
4,1,0,0,0,255,127,14,wall_1,503,M
5,16,1,0,0,152,223,138,curtain_0,129,M
6,16,1,0,0,44,160,44,curtain_1,129,M
7,16,1,0,0,255,152,150,curtain_2,129,M
8,6,1,0,0,214,39,40,sofa_0,423,M
9,7,1,0,0,197,176,213,couch table_0,119,M
10,7,1,0,0,148,103,189,table_0,455,M
11,39,1,0,0,196,156,148,bench_0,40,M
12,5,1,0,0,140,86,75,chair_0,85,M
13,5,1,0,0,247,182,210,chair_1,85,M
14,3,1,0,0,227,119,194,commode_0,110,M
15,1,0,0,0,219,219,141,wall_2,503,M
16,15,1,0,0,188,189,34,shelf_0,391,M
17,15,1,0,0,158,218,229,shelf_1,391,M
18,39,1,0,0,23,190,207,tv stand_0,490,M
19,3,1,0,0,178,76,76,cabinet_0,68,M
20,3,1,0,0,66,188,102,cabinet_1,68,M
21,7,1,0,0,140,57,197,coffee table_0,108,M
22,3,1,0,0,51,176,203,cabinet_2,68,M
23,22,0,0,0,200,54,131,ceiling_0,82,M
24,3,1,0,0,92,193,61,showcase_0,403,M
25,15,1,0,0,78,71,183,shelf_2,391,M
26,15,1,0,0,172,114,82,shelf_3,391,M
27,40,1,0,0,140,153,101,printer_0,355,M
28,40,1,0,0,100,125,154,vase_0,500,M
29,29,1,0,0,146,111,194,box_0,59,M
30,29,1,0,0,202,174,103,box_1,59,M
31,40,1,0,0,96,207,209,napkins_0,292,M
32,25,1,0,0,213,92,176,tv_0,489,M
33,1,0,0,0,94,106,211,wall_3,503,M
34,18,1,0,0,205,120,100,pillow_0,338,M
35,18,1,0,0,108,197,151,pillow_1,338,M
36,18,1,0,0,173,116,189,pillow_2,338,M
37,18,1,0,0,177,181,124,pillow_3,338,M
38,18,1,0,0,130,158,175,pillow_4,338,M
39,18,1,0,0,137,91,107,pillow_5,338,M
40,40,1,0,0,92,139,90,item_0,236,M
41,18,1,0,0,152,118,77,pillow_6,338,M
42,35,1,0,0,68,161,147,lamp_0,263,M
43,29,1,0,0,170,58,154,box_2,59,M
44,29,1,0,0,122,178,51,box_3,59,M
45,35,1,0,0,46,83,182,lamp_1,263,M
46,40,1,0,0,183,49,46,flower_0,192,M
47,15,1,0,0,171,108,140,shelf_4,391,M
48,40,1,0,0,191,63,78,decoration_0,137,M
49,2,0,0,0,174,199,232,floor_1,188,M
50,1,0,0,0,255,187,120,wall_4,503,M
51,25,1,0,0,213,92,176,tv_1,489,M
52,29,1,0,0,122,178,51,box_4,59,M
53,38,0,0,0,153,101,134,doorframe_0,158,M
54,5,1,0,0,128,56,173,armchair_1,4,M
55,29,1,0,0,170,58,154,box_5,59,M
56,1,0,0,0,219,219,141,wall_5,503,M
57,15,1,0,0,158,218,229,shelf_5,391,M
58,39,1,0,0,23,190,207,tv stand_1,490,M
59,3,1,0,0,178,76,76,cabinet_3,68,M
60,7,1,0,0,49,180,91,coffee table_1,108,M
61,3,1,0,0,51,176,203,cabinet_4,68,M
62,2,0,0,0,174,199,232,floor_2,188,M
63,5,1,0,0,31,119,180,armchair_2,4,M
64,1,0,0,0,255,187,120,wall_6,503,M
65,1,0,0,0,255,127,14,wall_7,503,M
66,16,1,0,0,152,223,138,curtain_3,129,M
67,16,1,0,0,44,160,44,curtain_4,129,M
68,16,1,0,0,255,152,150,curtain_5,129,M
69,6,1,0,0,214,39,40,sofa_1,423,M
70,7,1,0,0,197,176,213,couch table_1,119,M
71,7,1,0,0,148,103,189,table_1,455,M
72,39,1,0,0,196,156,148,bench_1,40,M
73,5,1,0,0,140,86,75,chair_2,85,M
74,5,1,0,0,247,182,210,chair_3,85,M
75,3,1,0,0,227,119,194,commode_1,110,M
76,1,0,0,0,219,219,141,wall_8,503,M
77,15,1,0,0,188,189,34,shelf_6,391,M
78,15,1,0,0,158,218,229,shelf_7,391,M
79,39,1,0,0,23,190,207,tv stand_2,490,M
80,3,1,0,0,178,76,76,cabinet_5,68,M
81,3,1,0,0,66,188,102,cabinet_6,68,M
82,7,1,0,0,140,57,197,coffee table_2,108,M
83,3,1,0,0,51,176,203,cabinet_7,68,M
84,22,0,0,0,200,54,131,ceiling_1,82,M
85,3,1,0,0,92,193,61,showcase_1,403,M
86,40,1,0,0,140,153,101,printer_1,355,M
87,40,1,0,0,100,125,154,vase_1,500,M
88,29,1,0,0,146,111,194,box_6,59,M
89,29,1,0,0,202,174,103,box_7,59,M
90,40,1,0,0,96,207,209,napkins_1,292,M
91,25,1,0,0,213,92,176,tv_2,489,M
92,1,0,0,0,94,106,211,wall_9,503,M
93,18,1,0,0,205,120,100,pillow_7,338,M
94,18,1,0,0,108,197,151,pillow_8,338,M
95,18,1,0,0,173,116,189,pillow_9,338,M
96,18,1,0,0,177,181,124,pillow_10,338,M
97,18,1,0,0,130,158,175,pillow_11,338,M
98,18,1,0,0,137,91,107,pillow_12,338,M
99,40,1,0,0,92,139,90,item_1,236,M
100,35,1,0,0,68,161,147,lamp_2,263,M
101,29,1,0,0,170,58,154,box_8,59,M
102,29,1,0,0,122,178,51,box_9,59,M
103,35,1,0,0,46,83,182,lamp_3,263,M
104,40,1,0,0,183,49,46,flower_1,192,M
105,15,1,0,0,171,108,140,shelf_8,391,M
106,18,1,0,0,125,165,114,pillow_13,338,M
107,40,1,0,0,191,63,78,decoration_1,137,M
108,38,0,0,0,153,101,134,doorframe_1,158,M
109,2,0,0,0,174,199,232,floor_3,188,M
110,1,0,0,0,255,187,120,wall_10,503,M
111,1,0,0,0,255,127,14,wall_11,503,M
112,16,1,0,0,152,223,138,curtain_6,129,M
113,16,1,0,0,44,160,44,curtain_7,129,M
